Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status,New SKU,FinalSKU
sad-songs-tee,Sad Songs Tee,Lonely Kids Club,,Tee,"Artist:Claire Harrison, Colour:Black, Colour:Green, Fit:Crop Top, Fit:Long Sleeve, Fit:Maple, Fit:Regular, Size:2XL, Size:3XL, Size:L, Size:M, Size:S, Size:XL, Size:XS, Theme:Last Chance, Theme:Life is Tough",TRUE,Colour,Army Green,Fit,Regular,Size,S,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active,TEE-SADSONGS-AMY-REG-S,TEE-SADSONGS-AMY-REG-S-LT
sad-songs-tee,,,,,,,,Army Green,,Regular,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-REG-M,TEE-SADSONGS-AMY-REG-M-LT
sad-songs-tee,,,,,,,,Army Green,,Regular,,L,TEE-SADSONGS-,150,shopify,9,continue,manual,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee3.jpg?v=1672492931,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-REG-L,TEE-SADSONGS-AMY-REG-L-LT
sad-songs-tee,,,,,,,,Army Green,,Regular,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-REG-XL,TEE-SADSONGS-AMY-REG-XL-LT
sad-songs-tee,,,,,,,,Army Green,,Regular,,2XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-REG-2XL,TEE-SADSONGS-AMY-REG-2XL-LT
sad-songs-tee,,,,,,,,Army Green,,Regular,,3XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-REG-3XL,TEE-SADSONGS-AMY-REG-3XL-LT
sad-songs-tee,,,,,,,,Black,,Regular,,S,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-S,TEE-SADSONGS-BLK-REG-S-BL
sad-songs-tee,,,,,,,,Black,,Regular,,M,TEE-SADSONGS-,150,shopify,9,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-M,TEE-SADSONGS-BLK-REG-M-BL
sad-songs-tee,,,,,,,,Black,,Regular,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-L,TEE-SADSONGS-BLK-REG-L-BL
sad-songs-tee,,,,,,,,Black,,Regular,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-XL,TEE-SADSONGS-BLK-REG-XL-BL
